Media_type,isolate_ID,Replicates,Protocol,Absor_260/280,Absor_260/230,Nano_1ng/ul,Quatus_2ng/ul
SD,BS9_240_002N_4,3,2,1.89,1.65,1784.6,137
SD,BS 9 C 040N-2,1,2,2.05,2.05,1047,101
SD,BS 9 C 040N-2,2,2,2.09,2.18,2172.6,124
SD,BS 9 C 040N-2,3,2,2.02,2.04,1231.2,144
SD,BS11C 643 S-6,1,2,1.66,0.9,86.7,5.2
SD,BS11C 643 S-6,2,2,1.71,1.18,101,6.5
SD,BS11C 643 S-6,3,2,1.55,0.95,51.2,2.02
YEPD,BS11 240 698 S-6,1,2,2.03,2.2,426.4,61
YEPD,BS11 240 698 S-6,2,2,2.07,2.22,454.2,67
YEPD,BS11 240 698 S-6,3,2,2.1,2.18,395.7,63
YEPD,TX1-2,1,2,1.38,0.55,174.5,1.06
YEPD,TX1-2,2,2,1.36,0.6,108.6,0.556
YEPD,TX1-2,3,2,1.31,0.51,60,0.223
YEPD,CAN2,1,2,2.05,1.97,912.9,79
YEPD,BS9_240_002N_4,1,2,2.03,1.96,896.3,90
YEPD,BS9_240_002N_4,2,2,1.88,1.47,249.5,40
YEPD,BS9_240_002N_4,3,2,2.06,2.08,1751.6,115
YEPD,BS 9 C 040N-2,1,2,1.98,1.82,1363.8,105
YEPD,BS 9 C 040N-2,2,2,2,1.81,1079.2,97
YEPD,BS 9 C 040N-2,3,2,2.02,1.86,971.3,94
YEPD,BS11C 643 S-6,1,2,1.53,0.82,66.2,0.587
YEPD,BS11C 643 S-6,2,2,1.83,1.46,452.7,40
YEPD,BS11C 643 S-6,3,2,1.76,1.17,149.5,10
YEPD,BS11 240 698 S-6,1,2,2.81,3.32,66.6,6.9
YEPD,BS11 240 698 S-6,2,2,6.32,-1.27,30.1,4.99
YEPD,BS11 240 698 S-6,3,2,0.72,0.21,-7,2.33
ME,TX1-2,1,3,2.48,4.82,299.8,16
ME,TX1-2,2,3,2.62,22.92,309,16
ME,TX1-2,3,3,2.23,45.79,563,81
ME,CAN2,1,3,1.91,0.32,1317.2,24
ME,CAN2,2,3,2.73,17.36,412.8,40
ME,CAN2,3,3,2.84,14.97,489.8,67
ME,BS9_240_002N_4,1,3,2.49,15.23,508,54
ME,BS9_240_002N_4,2,3,2.87,14.58,366.2,30
ME,BS9_240_002N_4,3,3,2.51,0.71,710.8,99
ME,BS 9 C 040N-2,1,3,2.09,2.09,793.5,111
ME,BS 9 C 040N-2,2,3,1.81,1.55,736.4,82
ME,BS 9 C 040N-2,3,3,2,1.89,1063.9,113
ME,BS11C 643 S-6,1,3,2.93,-18.47,409.4,51
ME,BS11C 643 S-6,2,3,2.71,17.96,513.8,46
ME,BS11C 643 S-6,3,3,2.53,0.21,853.1,79
ME,BS11 240 698 S-6,1,3,3.68,30.43,343.8,21
ME,BS11 240 698 S-6,2,3,5.31,14.24,262,11
ME,BS11 240 698 S-6,3,3,4.76,10.13,208.5,13
